id,hospital_name,sido,sggu,emdong,address,longitude,latitude
xaji0y,365엠씨의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 116, 논현빌딩 2층, 3층(동측), 3층일부(서측) (논현동)",127.0215419,37.5166051
6dpbhs,365열린가정의학과의원,서울,강남구,대치동,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",127.0547242,37.4973826
ahxthv,365코이의원,서울,강남구,논현동,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",127.0247472,37.5063094
3a3zmf,4월31일성형외과의원,서울,강남구,논현동,"서울특별시 강남구 논현로 707, 4월 31일 빌딩 지하1층 일부, 2~3층 (논현동)",127.0298941,37.5150928
8mdd4v,747의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",127.0221405,37.516854
30t9nt,815의원,서울,강남구,신사동,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",127.0284681,37.521777
3w5uzb,90일의기적의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",127.0489629,37.5247575
ikcidk,BLS(비엘에스)의원,서울,강남구,청담동,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",127.0439268,37.5249348
wnnhj7,D&A(디앤에이)성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 210, 용기빌딩 3층 일부 (신사동)",127.0301527,37.5277552
xvg0fn,OLE(올래)성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 23, 6층 604호 (신사동)",127.0295122,37.5259003
9xuy41,가넷성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 51, I.S.A 빌딩 5층 (신사동)",127.0293712,37.5239346
ibljh7,가암성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로171길 15, 카로시티1 2층 201,202,207호 (신사동)",127.0271419,37.5254936
5lxo6q,가암염원석성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로171길 15, 카로시티1 5층 (신사동)",127.0271419,37.5254936
jiujv6,가인성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 830, 1층 (신사동)",127.0285687,37.5226204
oh9sdb,강남12의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 111, 4층 (역삼동, 대건빌딩)",127.0292963,37.4988903
dw2pcn,강남고운세상피부과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",127.0287286,37.4976293
9t84az,강남닥터에버스의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 458, 남영빌딩 8~10층 (역삼동)",127.0254743,37.5034185
ytjxep,강남더의원,서울,강남구,논현동,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 404호 (논현동)",127.0408461,37.5167495
q85jsg,강남도쿄안과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 442, 5층 (역삼동)",127.0260775,37.5020662
65kxvf,강남라렌의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 378, 준빌딩 10층 (역삼동)",127.0286835,37.4966716
1t2tal,강남라해의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 548, 건우빌딩 7층 (논현동)",127.0219111,37.511039
a753lc,강남로미모의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 107, 비전타워 11층 (역삼동)",127.0287237,37.498664
58drc1,강남메이퓨어의원,서울,강남구,역삼동,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",127.0306538,37.4944418
1ertj5,강남미의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 128, 6층 (역삼동, 성곡빌딩)",127.0326083,37.4991385
pht0hl,강남미켈란의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 521, 3층 (청담동)",127.0504024,37.5248741
9xpsei,강남브엘의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 111, 8층 (논현동)",127.025723,37.5051993
mvihcw,강남브이에스(VS)라인의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 107, 메디타워 3층 (역삼동)",127.0287237,37.498664
i64ciy,강남비앤비의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 616, 신사미타워 9층 901호 (신사동)",127.0198235,37.5168437
he7ur2,강남비엘에스의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 432, 점프밀라노 8층 4호 (역삼동)",127.0266249,37.501235
3gdppq,강남삼성드림이비인후과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 372, (역삼동, FINE TOWER)",127.029122,37.4960271
0y9dom,강남삼성성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 506, 광명빌딩 5층 502호 (논현동)",127.0235171,37.5074896
5igqpk,강남서연성형외과의원,서울,강남구,신사동,"서울특별시 강남구 강남대로154길 20, 강남서연성형외과 B1,2,3,4층 (신사동)",127.0208233,37.5177593
i7p5tb,강남서울밝은안과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 390, 18층 (역삼동, 미진프라자)",127.028709,37.497901
94874f,강남성모안과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 240, 양재SK허브프리모 2층 209호 (도곡동)",127.0344241,37.4851767
rhocn9,강남센트럴안과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 333, 신도벤처타워 8층 9층 (역삼동)",127.048034,37.5047001
j2qp89,강남셀리팅의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 121, 11층, 13층 1101, 1301호(역삼동, 원빌딩) (역삼동)",127.0310754,37.499421
uzfk8u,강남아름다운유외과의원,서울,강남구,대치동,"서울특별시 강남구 테헤란로 410, 금강타워 5층 503~505, 508호 (대치동)",127.0507411,37.5045825
t0cvs4,강남아이메디안과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 402, 3층 (역삼동, 시계탑빌딩)",127.0278562,37.4988176
f8cgvy,강남안성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 152, (신사동)",127.0260696,37.5255661
ie6ivw,강남연세라인의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 101, 4층 (역삼동, 이즈타워)",127.0280297,37.4986211
pvs7hz,강남연세비뇨의학과의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 311, 401호 (역삼동)",127.052077,37.4973384
ioykl1,강남연세신통의원,서울,강남구,대치동,"서울특별시 강남구 선릉로 328, 2층 2호, 3호 (대치동)",127.0519153,37.4990383
cq99ch,강남연세흉부외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 370, 3층 (역삼동)",127.0292292,37.4958654
j755nf,강남예일미의원,서울,강남구,신사동,"서울특별시 강남구 논현로 833, 재경빌딩 3층 301호 (신사동)",127.02791,37.5228358
4zw9xa,강남우리집의원,서울,강남구,개포동,"서울특별시 강남구 개포로 229, 정원빌딩 2층 4호 (개포동)",127.0477824,37.4790306
3kx7ee,강남우태하피부과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 370, 5층 (역삼동, 강남클리닉빌딩)",127.0292292,37.4958654
dtjvzh,강남원의원,서울,강남구,자곡동,"서울특별시 강남구 자곡로 180, 강남유탑유블레스 1층 109, 109-2호 (자곡동)",127.103394,37.4736941
wjr64d,강남웰니스내과의원,서울,강남구,역삼동,"서울특별시 강남구 언주로 563, 지하1층 101~108,114~121,123~126호 (역삼동)",127.0381514,37.5079319
pja1wj,강남유앤아이의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 470, 808타워 6층 (역삼동)",127.0250552,37.5043479
0tpac5,강남이룸안과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 358, 강남358타워B1층 (역삼동)",127.0298087,37.4950692
6t4ufe,강남타임의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 476, urbanhive 9층 (논현동)",127.0248029,37.5049158
l6246h,강남포도여성의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 428, 만이빌딩 2층 (역삼동)",127.026849,37.5008145
id25ow,강남플랜에스의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 408, YBM강남센터 B1,2층 (역삼동)",127.0275554,37.4992268
f75935,강남피어리의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 590, 10층 (논현동, 미혜빌딩)",127.0204374,37.5145482
a0l725,강남현안과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 246, 다림빌딩 3층 (도곡동)",127.0340252,37.4855074
3j2d54,개포센트럴이비인후과의원,서울,강남구,개포동,"서울특별시 강남구 언주로7길 6, 2층 203,203-1,204,218호 (개포동, 개포자이르네)",127.055481,37.4785583
i3qk2i,갤러리아피부과의원,서울,강남구,개포동,"서울특별시 강남구 선릉로 34, 3층, 지하2층 (개포동)",127.060745,37.4828398
agl58k,갤러리의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 427, 4층 (역삼동)",127.0493841,37.5030852
xo9t7e,고고성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 838, 4층 (신사동)",127.0286669,37.5233551
8g8jdp,고슬림외과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 122, 에메랄드타워 13층 (논현동)",127.0221405,37.516854
0lvsnu,고우석제이엠오피부과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 104, 1st Avenue 지하1층 (논현동)",127.0203412,37.5160775
jza7tz,고운하지흉부외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 408, YBM강남센터 1302호 (역삼동)",127.0275554,37.4992268
0yncxl,고유성형외과의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 624, ICT TOWER, 8층 일부 (신사동)",127.0195523,37.5174876
l4zklo,고정아의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 134, 11층 (논현동, 페이토빌딩)",127.0234091,37.5173572
okep7y,곡샘성형외과의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 509, 9층 (청담동)",127.0489629,37.5247575
6wktak,골드제이의원,서울,강남구,대치동,"서울특별시 강남구 테헤란로 408, 대치빌딩 6층 6호 (대치동)",127.0504171,37.5044651
puxqph,골든디아망성형외과의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 420, 청담스퀘어 311호 일부, 312호 A동 (청담동)",127.0422013,37.5230216
r62gds,골든발란스의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 468, 충림빌딩 7,12층 (역삼동)",127.0251636,37.5041598
wm31yi,공간성형외과의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 616, 신사미타워 15층 (신사동)",127.0198235,37.5168437
hair4c,곽대희의원,서울,강남구,논현동,"서울특별시 강남구 학동로 218, 4층 (논현동)",127.0330159,37.514372
owgzri,광피부과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 318, SB타워 14층 3,4호 (논현동)",127.0368945,37.521843
xa11dp,굿라인성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 25, 2층 (신사동)",127.0278537,37.5248319
g8sbi4,굿모나의원,서울,강남구,신사동,"서울특별시 강남구 논현로 843, EGI빌딩 지하1층 1층 (신사동)",127.0279778,37.5243998
q2y9v8,권오정리얼뷰티의원,서울,강남구,대치동,"서울특별시 강남구 선릉로86길 12, 3층 (대치동)",127.0509054,37.5031213
6wzs3t,권장덕케이성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 857, 4층 (신사동, 계룡빌딩)",127.0281157,37.5253553
60rjiw,그날성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 408, YBM강남센터 10층 (역삼동)",127.0275554,37.4992268
1swjck,그녀의정원여성의원,서울,강남구,역삼동,"서울특별시 강남구 언주로 303, 지하2층 (역삼동)",127.0461347,37.4946081
jlteiy,그녀의헤어라인의원,서울,강남구,신사동,"서울특별시 강남구 논현로 826, 제이와이(JY빌딩) 4층 (신사동)",127.0285624,37.5222369
zcotoh,그랜드성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 6층 601호 (신사동)",127.027762,37.5240297
p6vz41,그리다성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 408, YBM강남센터 1201호 (역삼동)",127.0275554,37.4992268
nam148,그림성형외과의원,서울,강남구,논현동,"서울특별시 강남구 언주로 641, 펜트힐 루 논현 2층 219~226호 (논현동)",127.0348707,37.5139309
p0tvhh,글램성형외과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 138, 4층 (논현동)",127.0238282,37.5174754
pbmyof,글로리의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 207, KJ빌딩 3층 (논현동)",127.0346819,37.5078454
qewaou,글로벌성형외과의원,서울,강남구,신사동,"서울특별시 강남구 언주로 846, 글로벌메디컬빌딩 8층 (신사동)",127.0337337,37.5259568
axeqbn,글로벌케어내과의원,서울,강남구,도곡동,"서울특별시 강남구 언주로30길 39, 린스퀘어, 4층일부 (도곡동)",127.0532227,37.4887614
hl1n13,글로비성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 843, EGI빌딩 5층,6층 (신사동)",127.0279778,37.5243998
jcat9m,글로비지테라안티에이징의원,서울,강남구,신사동,"서울특별시 강남구 논현로 843, EGI빌딩 7층 (신사동)",127.0279778,37.5243998
x2x18h,기분좋은피부과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 211, 동현빌딩 4층 (신사동)",127.0297195,37.5206378
afeyuh,기쁨성형외과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 240, 양재SK허브프리모 206,207호 (도곡동)",127.0344506,37.4852658
z1gv0e,김덕현피부과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 532, 2층 (논현동, 신성빌딩)",127.0224836,37.5095804
38daly,김송이의원,서울,강남구,청담동,"서울특별시 강남구 선릉로158길 15, 1층 (청담동)",127.0413332,37.525678
8ozcyw,김숙경산부인과의원,서울,강남구,대치동,"서울특별시 강남구 선릉로 312, 3층 (대치동)",127.0526586,37.4975613
d14ve9,김영재의원,서울,강남구,청담동,"서울특별시 강남구 삼성로 772, 8층 일부호 (청담동)",127.0480449,37.5236212
2mpnsm,김인중성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 12, 3층 (신사동)",127.0290969,37.526711
43d8w3,김종서성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 842, 압구정빌딩, 2층일부 (신사동)",127.0287459,37.5240509
zp08j3,김주희유외과의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 301, 501호 (역삼동)",127.0524695,37.4964822
trp0j4,김지연위쉬성형외과의원,서울,강남구,청담동,"서울특별시 강남구 압구정로 432, 7층 (청담동)",127.0441077,37.5266143
3d5iqv,김진권피부과의원,서울,강남구,일원동,"서울특별시 강남구 일원로 33, 금성빌딩 (일원동)",127.0810631,37.4909192
nb4gh2,김태욱외과의원,서울,강남구,도곡동,"서울특별시 강남구 언주로30길 39, (도곡동, 4층일부)",127.0532227,37.4887614
m5zja8,김한성성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 590, 11층 (논현동, 미혜빌딩)",127.0204374,37.5145482
dzr1yx,김현석성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 19, 한익빌딩 4층 (신사동)",127.0278655,37.5252721
r2dhyl,김현수내과의원,서울,강남구,신사동,"서울특별시 강남구 언주로 874, 쌍봉빌딩 7층 (신사동)",127.0341443,37.5285961
urtp0l,김형진베이직성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 824, 동양빌딩 4층 (신사동)",127.0285577,37.5219996
zjjege,김혜영피부과의원,서울,강남구,대치동,"서울특별시 강남구 선릉로 312, 303호 (대치동)",127.0526586,37.4975613
t1ghr0,꿈꾸는성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 422, 8층 (역삼동)",127.0268811,37.500395
9skdgi,끌로에의원,서울,강남구,신사동,"서울특별시 강남구 선릉로 823, 6층 (신사동)",127.0393899,37.5256156
gatj9t,나나성형외과의원,서울,강남구,청담동,"서울특별시 강남구 압구정로 406, B4~1층,2~6층 (청담동)",127.0412066,37.5273637
ze5r5u,나노의원,서울,강남구,청담동,"서울특별시 강남구 도산대로57길 6, 3~4층 (청담동)",127.0416311,37.5240694
qpgb7r,나를위한산부인과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 364, 미왕빌딩 9층 (역삼동)",127.0292939,37.4955498
3ocwbf,나를의원,서울,강남구,신사동,"서울특별시 강남구 도산대로13길 18, 약산빌딩 4층 (신사동)",127.0234718,37.5191931
uk9e1v,나아성형외과의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 616, 신사미타워 3층 301호 (신사동)",127.0198235,37.5168437
2isqp4,나인비뇨의학과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 853, 6층 (신사동)",127.0281101,37.5251091
9kwv08,네오유여성비뇨기과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 446, 한웰빌딩 5층일부 (역삼동)",127.0259642,37.5024003
hhxfgc,네이처온성형외과의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 117, 이건빌딩 6층 (논현동)",127.0264873,37.5053198
aqvkiz,네이처피부과의원,서울,강남구,논현동,"서울특별시 강남구 선릉로 753, 6층 (논현동)",127.0392752,37.5218839
zqy72w,네임드성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 101, 이즈타워 2층 (역삼동)",127.0280314,37.4986785
x7ptx6,넥스트성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 봉은사로 108, 6층 (역삼동)",127.0256122,37.5045463
3cfl0u,노드의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로8길 8, 4층 일부호 (역삼동)",127.0310195,37.4982517
keyz7s,노바에스피부과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 402, 5층 (역삼동, 시계탑빌딩)",127.0278562,37.4988176
rcbplj,노블라인의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 162, (신사동, 베네하임시티 B101,B102)",127.0274689,37.5263327
d84u89,노블앤코의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 422, 10층 (역삼동)",127.0268811,37.500395
yjb1qx,노블와이성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 823, B&S빌딩 5층 (신사동)",127.0279673,37.521937
6gvwrd,노상훈성형외과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 110, 케이비엘 센터 7층 (논현동)",127.0210472,37.5162749
mly4ly,노원재산부인과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 238, 스카이쏠라빌딩 7층 (도곡동)",127.0347727,37.4849717
k83tql,노종훈성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 156, (신사동, 카로시티2 빌딩 304,405,406,407호)",127.0267906,37.5259818
l8os9x,노즈랩의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 556, 논현빌딩 3층 (논현동)",127.0215738,37.5115723
togn1w,누브의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로44길 7, 3층 (역삼동)",127.0449237,37.5024076
1ht7pz,누의원,서울,강남구,신사동,"서울특별시 강남구 도산대로45길 10-7, 신사동  K빌딩 2,3층 (신사동)",127.0364109,37.5234854
e9vift,눈높이성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 446, 한웰빌딩 5층 (역삼동)",127.0259642,37.5024003
td96qe,눈피부과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로27길 33, 201호 (신사동)",127.0272981,37.5221014
3rzsj4,뉴브의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 548, 건우빌딩 4층 (논현동)",127.0219111,37.511039
9itn7s,뉴슬림의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 21, 2층 (신사동)",127.0278765,37.5250836
55j2o7,뉴엘의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 134, 5층 (논현동)",127.0234091,37.5173572
s3kkv9,뉴영의원,서울,강남구,청담동,"서울특별시 강남구 압구정로60길 8, 2층 일부호 (청담동)",127.041963,37.5268889
rftmtt,뉴케이의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 430, 에이비씨마트빌딩 7층 (역삼동)",127.0266359,37.5009443
qlgzui,뉴헤어모발성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 115, (역삼동, 서림빌딩 15층)",127.029998,37.498981
1b0z3n,니오베의원,서울,강남구,삼성동,"서울특별시 강남구 봉은사로 448, 2층 (삼성동, 삼성동지웰)",127.0488526,37.5114614
x39rbs,다나성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 606, 삼주빌딩 10, 12층 (논현동)",127.0201694,37.5158757
v55psq,다름성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 101, 이즈타워 10층 (역삼동)",127.0280521,37.4986298
0oxfq8,다리핏의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 162, 베네하임시티 4층 401~407호 (신사동)",127.0274689,37.5263327
myx444,다미아노의원,서울,강남구,도곡동,"서울특별시 강남구 논현로28길 4, 2층 (도곡동)",127.0434834,37.4821395
nlz15b,다미인성형외과의원,서울,강남구,논현동,"서울특별시 강남구 논현로 715, 3층 301,302호 (논현동)",127.0296189,37.5157436
cw790p,다비다성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 822, 로뎀빌딩 2층 (신사동)",127.0284681,37.521777
dw5py6,다소니의원,서울,강남구,삼성동,"서울특별시 강남구 봉은사로73길 5, 3층 (삼성동)",127.0507105,37.5128053
b2knft,다시온의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 320, 황화빌딩 8층 (역삼동)",127.031063,37.4918602
u2gc5w,다움산부인과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 390, 미진프라자 1301호 (역삼동)",127.028709,37.497901
i6fqjj,다움성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 388, 강남센타빌딩 8층 (역삼동)",127.028359,37.497502
a26yfp,다인피부과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로50길 8, 3층 (신사동)",127.0380375,37.5278066
mvxpj4,닥터고운선의원,서울,강남구,신사동,"서울특별시 강남구 언주로174길 29, 3층 (신사동)",127.0364849,37.5281233
hnriuu,닥터뉴셀의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 458, 남영빌딩 7층 (역삼동)",127.0254743,37.5034185
9k9xju,닥터디자이너의원,서울,강남구,청담동,"서울특별시 강남구 압구정로 445, 6층 (청담동)",127.0461066,37.5265381
y0bvr6,닥터로빈의원,서울,강남구,대치동,"서울특별시 강남구 테헤란로64길 20, (대치동)",127.0512861,37.5036266
k2vmww,닥터망고의원,서울,강남구,역삼동,"서울특별시 강남구 봉은사로 108, 10층 (역삼동)",127.0256122,37.5045463
yzx4w6,닥터미소의원,서울,강남구,신사동,"서울특별시 강남구 논현로175길 15, 3~4층 (신사동)",127.0274275,37.5258676
xlpu0d,닥터밸리의원,서울,강남구,대치동,"서울특별시 강남구 테헤란로92길 14, (대치동, 동우리빌딩 지하1층)",127.0611615,37.5070383
k0get8,닥터베이직의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 478, 6층 (논현동, 제우빌딩)",127.0246963,37.5051136
t63j3r,닥터본성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로12길 11, 3층 (신사동)",127.0227539,37.5232122
30me8f,닥터비의원,서울,강남구,대치동,"서울특별시 강남구 삼성로 212, 2층 (대치동, 은마아파트)",127.0650701,37.4977415
840982,닥터소녀로의원,서울,강남구,신사동,"서울특별시 강남구 논현로171길 4, 의섭빌딩 2층 (신사동)",127.0280447,37.5256705
n2atqy,닥터손유나의원,서울,강남구,신사동,"서울특별시 강남구 도산대로53길 6, 지우빌딩1층~5층일부 (신사동)",127.0384351,37.5235536
yv37di,닥터송포유의원,서울,강남구,역삼동,"서울특별시 강남구 봉은사로 232, 3,4,5,6층 (역삼동)",127.0377269,37.508182
a5u6hc,닥터스키니의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 416, 창림빌딩 3층 (역삼동)",127.0271777,37.4998129
36kof8,닥터스프링의원,서울,강남구,청담동,"서울특별시 강남구 도산대로58길 12, 4층 (청담동, K2빌딩)",127.0413357,37.5225645
krd5eq,닥터스피부과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로12길 7, 닥터스빌딩 지하2~3, 1~7층 (논현동)",127.0237562,37.5172231
y08p0f,닥터안헤어플란트의원,서울,강남구,논현동,"서울특별시 강남구 언주로 647, 2층 (논현동, 강남빌딩)",127.0349695,37.5143533
odro8b,닥터에버스의원,서울,강남구,청담동,"서울특별시 강남구 선릉로 830, 공신진흥빌딩 4층 (청담동)",127.0404584,37.5260162
np84dy,닥터웰메이드원피부과의원,서울,강남구,신사동,"서울특별시 강남구 언주로168길 5, 지미안빌딩 5,5-1,6층 (신사동)",127.0340512,37.526631
t9moge,닥터유내과의원,서울,강남구,대치동,"서울특별시 강남구 영동대로 416, 케이티앤지 타워 지하1층일부 (대치동)",127.0653267,37.5065841
4qxxva,닥터윤뷰티플의원,서울,강남구,논현동,"서울특별시 강남구 학동로20길 55, 해림빌딩 4층 404,406호 (논현동)",127.0272193,37.5100801
2ieuc1,닥터이레이저피부과의원,서울,강남구,청담동,"서울특별시 강남구 선릉로 830, 공신진흥빌딩 2층 (청담동)",127.0404584,37.5260162
hh5lf6,닥터정리반의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 320, 4층 (신사동)",127.0364636,37.5285516
a4fejg,닥터진의원,서울,강남구,청담동,"서울특별시 강남구 선릉로 820, 6층 (청담동)",127.0402975,37.524879
xaa2il,닥터퀸스의원,서울,강남구,역삼동,"서울특별시 강남구 언주로81길 42, 2층 (역삼동)",127.0401404,37.4995585
gb0s0r,닥터크리미의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 616, (신사동, 신사미타워, 6층(602호, 603호), 13층(1301호))",127.0198235,37.5168437
2sds8b,닥터핏의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 528, 4층 (논현동, 원앤원63.5빌딩)",127.0226432,37.5092956
25sq8c,닥터홈즈의원,서울,강남구,신사동,"서울특별시 강남구 강남대로152길 45, 우림빌딩2층,3층,4층일부,5층 (신사동)",127.0230142,37.5184098
royr6c,달비성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로1길 13, ICT TOWER 2층 (신사동)",127.0198305,37.5174952
cvcjwt,담의원,서울,강남구,삼성동,"서울특별시 강남구 삼성로126길 6, (삼성동, 보고재빌딩 지하2층일부)",127.051663,37.5175193
l9tqvd,미자인의원,서울,강남구,신사동,"서울특별시 강남구 논현로 803, 4층 (신사동)",127.0278275,37.5203165
z4x1zh,대영성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 338, (신사동)",127.0388919,37.5279256
qimqod,대치더블유피부과의원,서울,강남구,대치동,"서울특별시 강남구 삼성로 233, (대치동, 신사빌딩 2층일부)",127.0609247,37.4980642
pxnf7c,대치뷰티라운지의원,서울,강남구,역삼동,"서울특별시 강남구 도곡로 331, 지하1층 (역삼동)",127.0522146,37.4964821
3dd03u,대치샘물피부과의원,서울,강남구,대치동,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 2층 208. 209호 (대치동)",127.0603918,37.4936881
vulemx,대치성모여성의원,서울,강남구,대치동,"서울특별시 강남구 선릉로64길 9, 대성빌딩 3층 (대치동)",127.0530616,37.4980068
15z8vm,대치수피부과의원,서울,강남구,대치동,"서울특별시 강남구 남부순환로 2941, 506호 (대치동, 대치탑프라자)",127.0619463,37.4942695
uhxid4,대치연세안과의원,서울,강남구,대치동,"서울특별시 강남구 도곡로 408, 디마크 빌딩 407호 504호 (대치동)",127.05525,37.4966282
n1u349,대치오라클피부과의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 319, 2층 (역삼동)",127.0517705,37.4980448
